TimeStep,Time,KineticEnergy,PotentialEnergy,TotalEnergy,Virial,Temperature,MeanSquareDisplacement
141,0.7100000000000005,352.15604299680075,-2429.3508367863055,-2077.1947937895047,-3884.497892463454,0.469541390662401,0.055915923898624036
142,0.7150000000000005,352.47444852636926,-2429.674044765784,-2077.199596239415,-3891.4714049413615,0.4699659313684923,0.056010237328095604
143,0.7200000000000005,352.9325576176698,-2430.138924528868,-2077.206366911198,-3900.138935331817,0.4705767434902264,0.05610256201403373
144,0.7250000000000005,353.42627974125435,-2430.6400468293964,-2077.213767088142,-3909.008452657257,0.4712350396550058,0.05619339261009456
145,0.7300000000000005,353.8427202481979,-2431.0631274426773,-2077.2204071944793,-3916.5001678021085,0.47179029366426384,0.05628324792394312
146,0.7350000000000005,354.0814492236679,-2431.3064884212317,-2077.225039197564,-3921.2176691534746,0.4721085989648905,0.056372589972861424
147,0.7400000000000005,354.0731659876705,-2431.3000573249365,-2077.226891337266,-3922.1540989150326,0.47209755465022735,0.056461751191274126
148,0.7450000000000006,353.791746302923,-2431.017525294305,-2077.225778991382,-3919.0231856288106,0.47172232840389733,0.056550881735282006
149,0.7500000000000006,353.2575342657324,-2430.479608297416,-2077.2220740316834,-3912.2238126915945,0.47101004568764315,0.0566399256031705
150,0.7550000000000006,352.53259638875016,-2429.7490381398316,-2077.216441751081,-3902.7439909214218,0.47004346185166684,0.05672862756428754
151,0.7600000000000006,351.7113968164221,-2428.9208789691197,-2077.2094821526975,-3892.0194584687406,0.46894852908856277,0.05681656692950915
152,0.7650000000000006,350.9111291198729,-2428.1127765274673,-2077.2016474075945,-3881.793542764783,0.4678815054931638,0.05690321233913251
153,0.7700000000000006,350.2626429390724,-2427.456215514276,-2077.1935725752037,-3873.9946021715873,0.4670168572520965,0.0569879931213588
154,0.7750000000000006,349.89786152574607,-2427.0844105164174,-2077.1865489906713,-3870.5134896710006,0.46653048203432806,0.057070383864601205
155,0.7800000000000006,349.92807418487666,-2427.110687117152,-2077.1826129322753,-3872.8898549935425,0.46657076557983557,0.05714999711445972
156,0.7850000000000006,350.4141738040869,-2427.59772920254,-2077.183555398453,-3881.9387049615416,0.46721889840544917,0.057226670420036437
157,0.7900000000000006,351.34172237774663,-2428.531409218703,-2077.1896868409567,-3897.3714304563664,0.4684556298369955,0.0573005241329
158,0.7950000000000006,352.61714050151613,-2429.8166375796563,-2077.19949707814,-3917.686851524708,0.47015618733535486,0.05737196797540653
159,0.8000000000000006,354.0886898204509,-2431.299399199253,-2077.210709378802,-3940.567967291433,0.4721182530939345,0.05744165108798584
160,0.8050000000000006,355.57953909516465,-2432.801006473468,-2077.2214673783033,-3963.3194817470567,0.4741060521268862,0.05751037146200101
161,0.8100000000000006,356.9165161880865,-2434.1473348799664,-2077.23081869188,-3983.302254125094,0.475888688250782,0.05757896930583935
162,0.8150000000000006,357.94772135754005,-2435.1860371050557,-2077.2383157475156,-3998.1945379133454,0.47726362847672005,0.057648223238029775
163,0.8200000000000006,358.5522926708869,-2435.7958198232286,-2077.243527152342,-4006.1382987008055,0.4780697235611825,0.05771875937753007
164,0.8250000000000006,358.6489075892785,-2435.8946544178293,-2077.2457468285506,-4005.8663820793386,0.47819854345237134,0.057790975778727764
165,0.8300000000000006,358.2065928257977,-2435.4507539893543,-2077.244161163557,-3996.9072294966286,0.47760879043439697,0.05786498636195228
166,0.8350000000000006,357.255841428089,-2434.494113721074,-2077.238272292985,-3979.7091233491096,0.47634112190411865,0.05794059244323383
167,0.8400000000000006,355.89388783814314,-2433.122368514539,-2077.228480676396,-3955.7156202586843,0.47452518378419084,0.05801729114204741
168,0.8450000000000006,354.2767201860206,-2431.4931033718426,-2077.216383185822,-3927.2480403294603,0.47236896024802744,0.05809432870759343
169,0.8500000000000006,352.59426530119964,-2429.798779106463,-2077.204513805263,-3897.1462135166234,0.4701256870682662,0.05817079617392834
